source_type,source_link,code,name
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Hiligaynon
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Himachali
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,hi,Hindi
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Hiri Motu
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Hittite
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Hmong
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,hu,Hungarian
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,hn,Hungarian
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Hupa
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Iban
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,is,Icelandic
